size,mflop
31,13750.5
32,18793.6
96,21374
97,21013.1
127,21610.7
128,21884.4
129,21470.2
191,21950.7
192,21313.4
229,22131.6
255,22200.1
256,22259.1
257,22039.3
319,22258.6
320,22315.5
321,22275.7
417,22362
479,22440.2
480,22505.2
511,22488.5
512,22435.1
513,22319.8
639,22492.6
640,22643.7
767,22508
768,22683.3
769,22590.7
1023,22643.2
1024,22724.4
1025,22403
1525,22673.5
1526,22535.2
1527,22638.8
