size,mflop
31,5964.2
32,8338.66
96,12249
97,11573.7
127,11506.9
128,12022
129,10996.1
191,11543.7
192,12364.8
229,11323.3
255,11533
256,12273.5
257,11077.3
319,9996.52
320,10274.7
321,10118.1
417,10403.5
479,10337.7
480,10507.9
511,9471.51
512,10124.7
513,9694.75
639,8497.46
640,8815.66
767,8448.7
768,8715.29
769,8411.51
1023,8396.42
1024,8621.89
1025,8333.19
1525,8415.84
1526,8830.33
1527,8410.95
