size,mflop
31,3011.46
32,3457.69
96,6036.99
97,5738
127,6022.71
128,6122
129,6071.84
191,5863.57
192,6005.27
229,5779.14
255,5879.61
256,5728.99
257,5879.29
319,5880.99
320,5948.71
321,5804.84
417,5927.34
479,5910.65
480,5915.37
511,5732.62
512,4237.42
513,5637.57
639,5726.52
640,5898.61
767,5869.15
768,5658.22
769,5833.53
1023,5782.43
1024,3892.76
1025,5695.24
1525,5921.25
1526,5875.9
1527,5917.01
