size,mflop
31,3400.71
32,5750.69
96,5911.88
97,5963.59
127,5729.55
128,2188.42
129,5721.16
191,5450.55
192,2159.46
229,5027.56
255,5007.03
256,2112.89
257,5022.44
319,4733.82
320,2125.83
321,4690.56
417,4377.79
479,4171.68
480,2014.3
511,4194.92
512,1771.04
513,4206.96
639,4039.6
640,1931.23
767,4015.34
768,1878.75
769,4025.99
1023,4007.75
1024,610.415
1025,4006.29
1525,3962.94
1526,3960.79
1527,3955.6
